ID     | Command line                                                                                           | Date and time    | Action(s)      | Altered
   128 | autoremove                                                                                             | 2022-05-14 15:55 | Removed        |    7 EE
   127 | -y install --disablerepo=* /tmp/akmods.05BvLkDB/results/kmod-v4l2loopback-5.17.6-300.fc36.x86_64-0.12. | 2022-05-14 14:27 | Install        |    1   
   126 | upgrade                                                                                                | 2022-05-14 14:23 | C, E, I, U     |  126 EE
   125 | remove mysql                                                                                           | 2022-05-14 13:59 | Removed        |    2  <
   124 | install lxappearance                                                                                   | 2022-05-14 01:08 | Install        |    2 > 
   123 | autoremove                                                                                             | 2022-05-10 22:00 | Removed        |   14 E<
   122 | -y install --disablerepo=* /tmp/akmods.3KlvgENH/results/kmod-v4l2loopback-5.17.5-300.fc36.x86_64-0.12. | 2022-05-10 21:54 | Install        |    1 >#
   121 | system-upgrade upgrade                                                                                 | 2022-05-10 21:36 | C, D, E, I, O, | 2235 E<
   120 | install /home/pratikc/Downloads/zoom_x86_64.rpm                                                        | 2022-05-10 10:05 | Install        |    1 >E
   119 | upgrade                                                                                                | 2022-05-10 09:37 | Upgrade        |   31   
   118 | -y install --disablerepo=* /tmp/akmods.DWlyPbaH/results/kmod-v4l2loopback-5.17.5-200.fc35.x86_64-0.12. | 2022-05-06 04:48 | Install        |    1   
   117 | upgrade                                                                                                | 2022-05-06 04:46 | C, E, I, U     |   19 EE
   116 | upgrade                                                                                                | 2022-05-03 23:50 | Upgrade        |   34   
   115 | upgrade                                                                                                | 2022-04-30 18:22 | Upgrade        |   42   
   114 | install helix                                                                                          | 2022-04-29 14:27 | Install        |    1  <
   113 | remove brave-browser                                                                                   | 2022-04-28 18:59 | Removed        |    3 >E
   112 | -y install --disablerepo=* /tmp/akmods.vI2oNZnU/results/kmod-v4l2loopback-5.17.4-200.fc35.x86_64-0.12. | 2022-04-26 19:43 | Install        |    1   
   111 | install kmod-v4l2loopback                                                                              | 2022-04-26 19:43 | Install        |   41 EE
   110 | remove v4l2loopback                                                                                    | 2022-04-26 19:43 | Removed        |   41 EE
   109 | -y install --disablerepo=* /tmp/akmods.6zEniRwl/results/kmod-v4l2loopback-5.17.4-200.fc35.x86_64-0.12. | 2022-04-26 19:39 | Install        |    1   
   108 | install v4l2loopback                                                                                   | 2022-04-26 19:39 | Install        |   41 EE
   107 | upgrade                                                                                                | 2022-04-26 04:06 | C, E, I, U     |   49 EE
   106 | upgrade                                                                                                | 2022-04-23 09:56 | I, U           |   39   
   105 | install code                                                                                           | 2022-04-19 09:36 | Install        |    1  <
